date,route_color,route_grade,rating,style,wall,offset,comment,route_id
2019-09-15,Tan,5.10d,,Onsight,wall-back-wall,69.3,,4ebf196ab0509ec26d4082feee2ae397
2019-09-14,Red,V5,,Flash,wall-mezzanine,114.6,,98e6662df118952bce8162a2ff369eae
2019-09-14,Yellow,V2,,Flash,wall-mezzanine,114.6,,a3f9c8c4797fb47ca9fd263de8f09bdf
2019-09-14,Tan,V0,,Flash,wall-mezzanine,114.6,,b471c60f620aa203a0e14252cadfd771
2019-09-14,Blue,V2,,Flash,wall-mezzanine,114.6,,a96b01f564e6fc2d6a13e0102dc2e098
2019-09-14,Black,V7,,Red Point,wall-mezzanine,114.6,Matching the finish is tricky﹐ a little soft overall. Actually this recent mezzanine set is softer than normal.,d4991966275c6c0178022625d018c4a6
2019-09-14,Yellow,V4,,Flash,wall-mezzanine,114.6,,c499bebee6ec34257f866cbb8a269c04
2019-09-14,Pink,V4,,Flash,wall-mezzanine,114.6,,9652096aa9ba2f77d568f3e913dbfe6e
2019-09-14,Lime Green,V6,,Flash,wall-mezzanine,114.6,,0cc7238418e81d49b26dad6b2e6ba701
2019-09-14,Blue,V3,,Flash,wall-mezzanine,114.6,Stiff opening sequence for a v3,9269c2ddcbeb8b830cd54307f2feaae7
2019-09-14,White,V2,,Flash,wall-mezzanine,114.6,,b8e380d28450a709818d1440e651247a
2019-09-14,Yellow,V5,,Flash,wall-mezzanine,114.6,,78816d3a47677628315e8d986c3bcae0
2019-09-14,Pink,V3,,Flash,wall-mezzanine,39.7,,5b7d427c7e669dea5a5a015a72dd7c37
2019-09-14,Lime Green,V1,,Flash,wall-mezzanine,39.7,,749f9043c1316141f8ff111ed721ee23
2019-09-14,Red,V3,,Flash,wall-mezzanine,39.7,,77b38ce2608d5e418981ce707d32ea22
2019-09-14,Tan,V2,,Flash,wall-mezzanine,39.7,,e914438ba916019006a7620047544e15
2019-09-13,Yellow,V0,,Flash,wall-mezzanine,39.7,,b2afff501a376f665cdaeca5e6d23569
2019-09-12,Yellow,5.11c,,Onsight,wall-back-wall,1018.7,,2637b03b44b40dd09cce396172c15af3
2019-09-12,Red,5.9,3,Onsight,wall-back-wall,124.1,,fd3dabf53ebd596bc9f4269f16b629db
2019-09-12,Pink,5.12a,3,Onsight,wall-back-wall,70.1,,1b4a4181e98eeab23f95820d76c8800c
2019-09-08,Blue,V7,3,Red Point,wall-boulders,87.1,,7506d25fe3905fe1da1e0fbe97a0b833
2019-09-08,White,V6,3,Flash,wall-boulders,222.0,Challenging match to the finish,41e3cf22902518466fa7460d6a94ef9a
2019-09-08,Pink,5.12a,4,Onsight,wall-back-wall,1376.2,Cool toehook,75bc9f6ba0769c3a3db0e00027d94205
2019-09-08,Black,5.11a,3,Onsight,wall-back-wall,1330.2,,c9f1de0e3c73884f06b1cc9ef31bd920
2019-09-08,Tan,5.12a,4,Onsight,wall-back-wall,1310.0,,c0b15a8534d9e874d16ad3676ca32750
2019-09-08,Lime Green,5.10a,3,Onsight,wall-back-wall,1274.8,,7a74c7e536d444fa677359ee5ca64f21
2019-09-08,Red,5.11b,3,Onsight,wall-back-wall,1199.9,,86830592b11a1b3b4f75ebed1ef2f263
2019-09-07,Black,V2,3,Flash,wall-boulders,161.2,,56afa1da4583bef3e83f3fc151802db6
2019-09-07,Tan,V7,5,Red Point,wall-boulders,161.2,,7513b1238dbda17b80edccfdbeb72e33
2019-09-06,Purple,V0,3,Flash,wall-boulders,87.1,,f5b4c695403be6e2afebc8028c337747
2019-09-05,Yellow,V2,3,Flash,wall-boulders,87.1,,760e87c99b1d097e5ba8b34a0250f535
2019-09-05,Pink,V6,3,Red Point,wall-boulders,87.1,Chimneyed my way up my second go after slipping off the finish. I'll have to try the intended beta again.,1df756f8a40b61edfda26d1285aaef32
2019-09-05,Lime Green,V1,3,Flash,wall-boulders,87.1,,dd99d90fe7079f1d36a1dc02ed031108
2019-09-05,Tan,V5,3,Flash,wall-boulders,87.1,Tricky start with one hand on the volume.,be9945a8cc6f712a1b72507f6dfe4aac
2019-09-05,White,V5,4,Red Point,wall-boulders,87.1,Crimptastic,b7c13689b698b3281065cb5ee3402905
2019-09-05,Yellow,V4,3,Flash,wall-boulders,87.1,,6137b4922054345323f256a25c42e384
2019-09-05,White,V3,3,Flash,wall-boulders,161.2,,fc699d285a584213971fabadcaec87b8
2019-09-05,Red,V0,3,Flash,wall-boulders,161.2,,3b9e1b133dd398a6d0179788260ef8f6
2019-09-05,Tan,V7,5,Red Point,wall-boulders,161.2,Not sure if I broke the beta or unlocked it. Cool climb either way.,7513b1238dbda17b80edccfdbeb72e33
2019-09-05,Blue,V4,3,Flash,wall-boulders,161.2,,62651f8507df29424815e4b791189074
2019-09-04,Yellow,5.11d,3,Onsight,wall-back-wall,830.9,,d203fe84501b13395cb71028ef9013ae
2019-09-04,Black,5.12b,3,Onsight,wall-back-wall,1251.0,,e49b62c8b3df1017f923d345a45b6cb2
2019-09-04,Black,5.9,3,Onsight,wall-back-wall,56.8,,6e189cffec5982c21cf831eec2a0d19a
